"","Trial number","date","haul number","day_since_initial_haul","Nr of panels * panel length by mesh size","cod set","cod lost","perc. cod lost","flounder set","flounder lost","perc. flounder lost","plaice set","plaice lost","perc. plaice lost","turbot set","turbot lost","perc. turbot lost","f.day_since_initial_haul"
"1",1,2021-09-14,1,1,"12 * 60m by 110mm",10,1,0.1,0,0,NA,0,0,NA,0,0,NA,"1"
"2",1,2021-09-14,1,1,"12 * 60m by 110mm",10,1,0.1,0,0,NA,0,0,NA,0,0,NA,"1"
"3",1,2021-09-15,2,2,"12 * 60m by 110mm",18,11,0.611111111111111,0,0,NA,0,0,NA,0,0,NA,"2"
"4",1,2021-09-15,2,2,"12 * 60m by 110mm",10,0,0,0,0,NA,0,0,NA,0,0,NA,"2"
"5",1,2021-09-16,3,3,"12 * 60m by 110mm",10,1,0.1,0,0,NA,0,0,NA,0,0,NA,"3"
"6",1,2021-09-16,3,3,"12 * 60m by 110mm",10,5,0.5,0,0,NA,0,0,NA,0,0,NA,"3"
"7",1,2021-09-17,4,4,"12 * 60m by 110mm",10,9,0.9,0,0,NA,0,0,NA,0,0,NA,"4"
"8",1,2021-09-17,4,4,"12 * 60m by 110mm",11,11,1,0,0,NA,0,0,NA,0,0,NA,"4"
"9",1,2021-09-18,5,5,"12 * 60m by 110mm",10,10,1,0,0,NA,0,0,NA,0,0,NA,"5"
"10",1,2021-09-18,5,5,"12 * 60m by 110mm",11,11,1,0,0,NA,0,0,NA,0,0,NA,"5"
"11",1,2021-09-19,6,6,"12 * 60m by 110mm",10,10,1,0,0,NA,0,0,NA,0,0,NA,"6"
"12",1,2021-09-19,6,6,"12 * 60m by 110mm",3,3,1,0,0,NA,0,0,NA,0,0,NA,"6"
"13",2,2021-09-20,1,1,"12 * 60m by 110mm",10,1,0.1,0,0,NA,0,0,NA,0,0,NA,"1"
"14",2,2021-09-20,1,1,"12 * 60m by 110mm",10,0,0,0,0,NA,0,0,NA,0,0,NA,"1"
"15",2,2021-09-21,2,2,"12 * 60m by 110mm",10,0,0,0,0,NA,0,0,NA,0,0,NA,"2"
"16",2,2021-09-21,2,2,"12 * 60m by 110mm",18,0,0,0,0,NA,0,0,NA,0,0,NA,"2"
"17",3,2021-09-25,1,1,"12 * 60m by 110mm",10,2,0.2,0,0,NA,0,0,NA,0,0,NA,"1"
"18",3,2021-09-25,1,1,"12 * 60m by 110mm",9,6,0.666666666666667,0,0,NA,0,0,NA,0,0,NA,"1"
"19",3,2021-09-26,2,2,"12 * 60m by 110mm",10,10,1,0,0,NA,0,0,NA,0,0,NA,"2"
"20",3,2021-09-26,2,2,"12 * 60m by 110mm",14,14,1,0,0,NA,0,0,NA,0,0,NA,"2"
"21",3,2021-09-27,3,3,"12 * 60m by 110mm",10,10,1,0,0,NA,0,0,NA,0,0,NA,"3"
"22",3,2021-09-27,3,3,"12 * 60m by 110mm",12,12,1,0,0,NA,0,0,NA,0,0,NA,"3"
"23",3,2021-09-28,4,4,"12 * 60m by 110mm",20,20,1,0,0,NA,0,0,NA,0,0,NA,"4"
"24",3,2021-09-28,4,4,"12 * 60m by 110mm",23,23,1,0,0,NA,0,0,NA,0,0,NA,"4"
"25",4,2021-10-24,1,1,"12 * 60m by 110mm",10,0,0,0,0,NA,0,0,NA,0,0,NA,"1"
"26",4,2021-10-24,1,1,"12 * 60m by 110mm",9,0,0,0,0,NA,0,0,NA,0,0,NA,"1"
"27",4,2021-10-25,2,2,"12 * 60m by 110mm",11,1,0.0909090909090909,0,0,NA,0,0,NA,0,0,NA,"2"
"28",4,2021-10-25,2,2,"12 * 60m by 110mm",10,0,0,0,0,NA,0,0,NA,0,0,NA,"2"
"29",4,2021-10-26,3,3,"12 * 60m by 110mm",12,0,0,0,0,NA,0,0,NA,0,0,NA,"3"
